"","Player_Id","Player_Name","MVPI_17","Batting_index_17","Bowling_index_17","All_rounder_index_17","MVPI_17_16","Batting_index_17_16","Bowling_index_17_16","All_rounder_index_17_16","MVPI_17_16_15","Batting_index_17_16_15","Bowling_index_17_16_15","All_rounder_index_17_16_15","Batting_index_17_rank","Bowling_index_17_rank","All_rounder_index_17_rank","Batting_index_17_16_rank","Bowling_index_17_16_rank","All_rounder_index_17_16_rank","Batting_index_17_16_15_rank","Bowling_index_17_16_15_rank","All_rounder_index_17_16_15_rank"
"84",371,"NM Coulter-Nile",56.2170778879783,2.07230030567718,7.48309463932239,0.00833216084942023,65.4543115906095,3.2419611745857,9.23512489588398,0.0103239272003056,120.289185088164,3.06737607436555,13.6890471233287,0.00999558968050093,103,75,115,107,76,98,111,79,103
"85",372,"CJ Anderson",263.457000216794,10.7789105050765,21.67077729105,0.028761782036596,243.978114368931,11.2327464647749,21.2674650304441,0.0269675314790635,463.748635121148,12.4584242245269,28.9121862427496,0.0260948030685826,40,10,7,43,8,5,31,11,7
"86",374,"AR Patel",490.985600406875,10.840504907915,9.96407087749201,0.0189297398757392,655.341217973732,9.67434858513041,10.8408169205458,0.0170930566695717,1003.53906747193,9.73694083304099,16.7615706786905,0.017223532599379,39,58,27,58,65,38,57,64,42
"87",375,"JJ Bumrah",46.9130776129688,0.499459234523722,9.6934593533525,0.00867488946898762,115.966874116409,9.54818160877383,10.4242619458309,0.0166443957286891,115.898945652844,9.42000306531873,15.4592548208442,0.0162516610880197,124,61,109,60,68,41,62,70,48
"88",377,"TG Southee",5.13127990469874,0.986956054295819,12.8494514330885,0.0118142474610028,88.7652379988422,7.57246667397096,13.6602902471844,0.0176245598761818,128.279620506525,9.9639011920823,21.6741410024084,0.0200824230177034,114,32,74,76,29,36,54,25,22
"89",382,"YS Chahal",40.0381265933102,4.99366789411676,10.5857983678098,0.0137862590172301,39.8166954498951,5.20197849801741,10.878185733017,0.0133330785425249,101.837222109461,5.52120360212854,13.4946825778995,0.011934891898235,83,55,56,94,63,67,94,80,80
"90",383,"LMP Simmons",233.556093653787,8.74381429398091,0,0.00847759238766197,220.903507246026,8.2932175964839,0,0.00702905902426485,1337.70254809093,13.972952096666,0,0.0116445475325219,58,117,113,70,119.5,129,21,119.5,85
"91",385,"BCJ Cutting",120.630496558151,10.0077614977738,39.2101744173477,0.0428342948319045,274.654554838562,11.7051183937427,12.6177266320447,0.0202719800521276,271.500560791497,11.5642309244039,18.990761319501,0.0199577891986642,47,2,3,37,40,20,42,45,25
"92",386,"Imran Tahir",45.0715909761142,0.172908185429959,8.73513049003147,0.00754852620487543,55.6555786718411,0.312022944495829,9.59253093749352,0.00813381013103958,98.6475599717681,4.08972583205598,13.9466610682936,0.0109875796112535,137.5,67,124,139,74,121,104,78,91
"93",390,"R Tewatia",47.6082908255246,7.62012421143073,8.05031515780527,0.0141903524801944,46.0188033609088,7.57347495724055,7.85878166536531,0.012866076155898,45.7650817586841,7.67023814062127,11.9336681749577,0.0128774811287167,65,72,53,75,81,72,79,84,71
